Cluster_ID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
51,0.20982703419584797,-0.013818921023823573,-0.03440484249401303,0.11646612059447582,-0.011893511901937045,0.021665672830998104,0.07246461912510292,0.022126976663871138,0.03737364300252226,-0.015675217007619657
52,0.07862791739705832,0.01111784634508634,0.08564969078132677,-0.05982664291473001,0.04945742535775675,0.021338796407638867,0.08443024192668643,-0.0731294845924955,0.05891848589043034,-0.004009693992816069
53,0.35418876660140564,-0.038791806697209004,-0.05288740037802247,-0.14769904578857446,0.03821240515275909,0.06807069740304632,0.0191680218202486,0.03628799179886953,-0.021343135766075057,-0.028647697360219375
54,0.12599231670291772,0.003516263791779689,0.03259151586160193,0.04711225067603213,0.012969586167561994,0.0020657813874178214,-0.038889537337138146,-0.04230495255121363,-0.007124888202393448,-0.005416082216186753
55,0.11584804803742589,0.032228115201765266,0.21726163353392436,-0.0025449307370477335,0.07109600144600907,0.023413501343835366,0.02356446000488689,-0.0830746770400817,0.11392139603378393,0.11873691792971137
56,0.11581511359727277,-0.007295347769878907,-0.01922216444759727,-0.018175113390639028,0.022370726650907634,0.042070683264171745,-0.05556303932885192,0.010465341287720645,0.002442745173253784,0.020567535265957292
57,0.29021650704993024,-0.03444316110044736,-0.008340493091977898,-0.006451890914731159,-0.03927777795833826,-0.13305328806326933,0.04635771912704466,-0.0581437467630058,-0.057396201873109065,-0.23940135150968142
58,0.13935632248098245,-0.007194365614337325,0.011359703879585951,-0.049620572507832285,0.002925555967358803,-0.018027317873996935,0.05079143879893755,-0.012573113029406691,0.009180111362620652,-0.023326818541974405
59,0.05950125830358493,0.012106177575967832,0.11420799493104573,0.023767390265115425,0.06891132863800424,0.04591338767578401,-0.02983142100528829,-0.040460235364113514,-0.0740582190118591,0.03173739397906991
60,0.4036920445100559,-0.050357751866686125,-0.08739331839615991,-0.025667958748605276,0.026189185007778417,0.09552551735588052,-0.13766320271525317,0.03799268395856954,-0.04868318599564665,0.05188061125367134
61,0.05684061228950227,0.005116438936218088,0.0770844907343019,-0.025064105916753322,0.008068823469151514,-0.034606703282699915,0.0445843274970054,-0.04167938944240784,0.09961036565020254,0.09779908541847718
62,0.04725888528572804,0.003269265420954413,0.10418968489414937,-0.010108062551987979,-0.09556529095270593,0.025269713207109617,-0.008415202149640498,0.04352390938911925,0.04384805610546186,-0.02063155000288561
