speech,top_keywords
65,"κεδικογλ, κανονισμ, συντομι, εξηγησετ, συνιστατα, ουδ, δικαιουτα, παραβιας, μιλης, ζητης"
66,"υπομνησετ, εξαψ, κατετεθης, αποφευγουμ, εγγραφ, ανακοινωσατ, παρακαλουσαμ, μειναμ, τσουδερ, επικαλουντα, τουλαχιστ, αντιδικι, διευκρινισω, ανευθυν, προχειρ, παρω, προκαλες, αποδεικνυ, ειδαμ, παντοτε"
67,"πηρ, χηρ, ορφαν, απαντης, συνταξιοδοτης, σκελ, θυματ, αστυνομικ, εξαιρες, ζητης, ευθυν, οικονομικ"
68,"356κύριοι, εκθεσετ, μπαντουβ, προσωπικ, ετεθ, τελειως, σελιδ"
69,"κρις, υπελειποντ, υποπεσω, αναφερω, κριθεντ, χαραλαμποπουλ, ολισθημ, αριθμητικ, αξιοκρατικ, φετιν, φακελ, ονοματ, αναφεροντα, απολυτως, κριτηρι, προηγ, στοιχει"
70,"διαδοχικ, κηρυσσετα, περαι, εισερχομαστ, 19, ενοτητ, εως"
71,"εκηρυξ, καταθεσετ, ακουσατ, περαι, ρωτησω, προτας, δυνατοτητ"
72,"πρεσβ, εξωτερικ, συμβουλι, υπαλληλ, συνδικαλιστικ, υπηρεσιακ, συγνωμ, κλαδ, υποδεικνυ, επικρατει, διπλωματικ, οικει, διοικητικ, ζητω, προεδρι, υπηρχ, 40, συμβουλ, εκφρας, δικαστικ"
73,"θυμαμα, μαζικ, λεονταρισμ, εση, ραδιοφωνι, επιβαλουμ, πραγματι, ραδιοτηλεοπτικ, διαγραφ, εθνικ, κουβελ, προσεκτικ, δω, φων, χερ, δημαρχ, υποτιθετα, τηλεορας, φορολογι, επικοινωνι"
74,"τσοχατζοπουλ, διαταγμ, τσαχατζοπουλ, τοκαταργησατ, εξεδοθ, μπε, σηκωθ, οκ, σηκωθειτ, κατηργης, πεστ, παρτ, βγηκ, αμφισβητης"
75,"κοσιων, εφημερι, γιατρ, 7190, διετελες, ανακοινως, παραταξ, αναδρομικ, συνδικαλιστ, ξεχνατ, πληρωθ, βρηκ, ιατρικ, συνεδρι, ελεγκτικ, λεφτ, ευαισθησι, προβλημ, ουρανοκατεβατ, διεγραφ"
76,"εκατ, δας, 1989, δρυμ, δασικ, δαπαν, προυπολογισμ, κτηνοτροφι, γεωργι, επιχορηγης, τακτικ, 1990, ταμει, πυρκαι, κεντρικ, θηρ, προστασι, μειωνοντα, εκτας, δραχμ"
77,"διατελεσαντ, θελατ, ρωτησω, εξηγης, δωσετ, δωσω, γεωργι, σημει"
78,"προυπολογισμ, οικονομικ, πληθωρισμ, κοινωνικ, αντιμετωπις, 186, 1992, ουσιαστικ, προβληματ, δαπαν, ταχα, 145, σαν, ασφαλις, πραγματικ, επιχειρ, εστω, ελλειμματ, πιστευ, ευρωπ"
79,"κουλουρ, συνιστατα, προσωπικ, καλω, ζητης, εκθες, θεματ"
80,"φοβηθηκ, μεταταξ, μεταθες, δημοκρατι, νε, 1061ανέφερε, πουσελιδ, επιφυλασσομαστ, απεφυγ, πρωτοκλασατ, παρελθοντολογι, εγγραφως, ερωτωντ, γραφτηκ, προσληφθ, ξεχναμ, φερουμ, αποδεικνυ, νομαρχιακ, παρουσι"
