Similarity,Member A,Member B
0.306582013374081,κωνσταντοπουλος λεωνιδα γεωργιος,παπαδελλης γεωργιου φραγκλινος
0.3063195461180036,παπαρηγα νικολαου αλεξανδρα,παπουτσης δημητριου χρηστος
0.3053084020054769,κατσωτης περικλη χρηστος,παπαρηγα νικολαου αλεξανδρα
0.3050887618604273,δημητριαδης κλεανθη δημητριος,περλεπε-σηφουνακη αγγελου αικατερινη
0.3044718161227731,αυγενακης κωνσταντινου ελευθεριος,στυλιανιδης στυλιανου ευριπιδης
0.3042878490610267,κολλια-τσαρουχα ευστρατιου μαρια,νικολαιδου αρισταρχου βαρβαρα (βερα)
0.30395068210647275,καλαντιδου παναγιωτη σοφια,κατσωτης περικλη χρηστος
0.303821348092018,αβραμοπουλος λαμπρου δημητριος,παπαδακης γεωργιου νικολαος
0.3033746630902161,κεφαλογιαννη ιωαννη ολγα,μαυρωτας παρασκευα γεωργιος
0.3030147991164043,μουτσινας ιωαννη παρισης (παρις),πολυζος γεωργιου ευαγγελος
